split,threshold,precision,recall
val_cc,0.999938,1.000000,0.310068
val_cc,0.999937,1.000000,0.310274
val_cc,0.999937,1.000000,0.310686
val_cc,0.999937,1.000000,0.311097
val_cc,0.999937,1.000000,0.311509
val_cc,0.999937,1.000000,0.311715
val_cc,0.999936,1.000000,0.312127
val_cc,0.999936,1.000000,0.312539
val_cc,0.999936,1.000000,0.312744
val_cc,0.999936,1.000000,0.313156
val_cc,0.999936,1.000000,0.313568
val_cc,0.999936,1.000000,0.314186
val_cc,0.999936,1.000000,0.314392
val_cc,0.999935,1.000000,0.314597
val_cc,0.999935,1.000000,0.314803
val_cc,0.999935,1.000000,0.315627
val_cc,0.999935,1.000000,0.316450
val_cc,0.999935,1.000000,0.316656
val_cc,0.999935,1.000000,0.317068
val_cc,0.999935,1.000000,0.317892
val_cc,0.999934,1.000000,0.318098
val_cc,0.999934,1.000000,0.318509
val_cc,0.999934,1.000000,0.319127
val_cc,0.999934,1.000000,0.319539
val_cc,0.999933,1.000000,0.320156
val_cc,0.999933,1.000000,0.320568
val_cc,0.999933,1.000000,0.320774
val_cc,0.999933,1.000000,0.321186
val_cc,0.999932,1.000000,0.321392
val_cc,0.999932,1.000000,0.321804
val_cc,0.999932,1.000000,0.322009
val_cc,0.999932,1.000000,0.322215
val_cc,0.999932,1.000000,0.322421
val_cc,0.999932,1.000000,0.322627
val_cc,0.999931,1.000000,0.323039
val_cc,0.999931,1.000000,0.323245
val_cc,0.999931,1.000000,0.323451
val_cc,0.999931,1.000000,0.323657
val_cc,0.999930,1.000000,0.324480
val_cc,0.999930,1.000000,0.324686
val_cc,0.999930,1.000000,0.324892
val_cc,0.999930,1.000000,0.325098
val_cc,0.999930,1.000000,0.325304
val_cc,0.999930,1.000000,0.325510
val_cc,0.999929,1.000000,0.325715
val_cc,0.999929,1.000000,0.326333
val_cc,0.999929,1.000000,0.326539
val_cc,0.999929,1.000000,0.326745
val_cc,0.999929,1.000000,0.327774
val_cc,0.999929,1.000000,0.328392
val_cc,0.999929,1.000000,0.328598
val_cc,0.999928,1.000000,0.329010
val_cc,0.999928,1.000000,0.329216
val_cc,0.999928,1.000000,0.329421
val_cc,0.999928,1.000000,0.329627
val_cc,0.999928,1.000000,0.330039
val_cc,0.999928,1.000000,0.330657
val_cc,0.999927,1.000000,0.331069
val_cc,0.999927,1.000000,0.331274
val_cc,0.999927,1.000000,0.331480
val_cc,0.999927,1.000000,0.331686
val_cc,0.999927,1.000000,0.332098
val_cc,0.999927,1.000000,0.332304
val_cc,0.999926,1.000000,0.332510
val_cc,0.999926,1.000000,0.332716
val_cc,0.999926,1.000000,0.332922
val_cc,0.999926,1.000000,0.333127
val_cc,0.999926,1.000000,0.333333
val_cc,0.999925,1.000000,0.333539
val_cc,0.999925,1.000000,0.333745
val_cc,0.999925,1.000000,0.333951
val_cc,0.999925,1.000000,0.334363
val_cc,0.999924,1.000000,0.334980
val_cc,0.999924,1.000000,0.335186
val_cc,0.999924,1.000000,0.335392
val_cc,0.999924,1.000000,0.335804
val_cc,0.999923,1.000000,0.336010
val_cc,0.999923,1.000000,0.336216
val_cc,0.999923,1.000000,0.336422
val_cc,0.999923,1.000000,0.337039
val_cc,0.999923,1.000000,0.337245
val_cc,0.999923,1.000000,0.337451
val_cc,0.999922,1.000000,0.337657
val_cc,0.999922,1.000000,0.337863
val_cc,0.999922,1.000000,0.338069
val_cc,0.999922,1.000000,0.338686
val_cc,0.999922,1.000000,0.338892
val_cc,0.999921,1.000000,0.339098
val_cc,0.999921,1.000000,0.339304
val_cc,0.999921,1.000000,0.339510
val_cc,0.999921,1.000000,0.340128
val_cc,0.999921,1.000000,0.340539
val_cc,0.999921,1.000000,0.340745
val_cc,0.999920,1.000000,0.341569
val_cc,0.999920,1.000000,0.341775
val_cc,0.999920,1.000000,0.342392
val_cc,0.999920,1.000000,0.342598
val_cc,0.999920,1.000000,0.343010
val_cc,0.999920,1.000000,0.343422
val_cc,0.999920,1.000000,0.343628
val_cc,0.999919,1.000000,0.344040
val_cc,0.999919,1.000000,0.344245
val_cc,0.999919,1.000000,0.344451
val_cc,0.999919,1.000000,0.344657
val_cc,0.999919,1.000000,0.345275
val_cc,0.999918,1.000000,0.345687
val_cc,0.999918,1.000000,0.345893
val_cc,0.999918,1.000000,0.346098
val_cc,0.999918,1.000000,0.346304
val_cc,0.999917,1.000000,0.346922
val_cc,0.999917,1.000000,0.347128
val_cc,0.999917,1.000000,0.347334
val_cc,0.999917,1.000000,0.347746
val_cc,0.999916,1.000000,0.347951
val_cc,0.999916,1.000000,0.348363
val_cc,0.999916,1.000000,0.348775
val_cc,0.999916,1.000000,0.349187
val_cc,0.999916,1.000000,0.349393
val_cc,0.999916,1.000000,0.349599
val_cc,0.999915,1.000000,0.349804
val_cc,0.999915,1.000000,0.350010
val_cc,0.999915,1.000000,0.350422
val_cc,0.999915,1.000000,0.350628
val_cc,0.999915,1.000000,0.350834
val_cc,0.999914,1.000000,0.351040
val_cc,0.999914,1.000000,0.351452
val_cc,0.999914,1.000000,0.351657
val_cc,0.999913,1.000000,0.351863
val_cc,0.999913,1.000000,0.352069
val_cc,0.999913,1.000000,0.352275
val_cc,0.999913,1.000000,0.352893
val_cc,0.999913,1.000000,0.353716
val_cc,0.999913,1.000000,0.353922
val_cc,0.999912,1.000000,0.354540
val_cc,0.999912,1.000000,0.354952
val_cc,0.999912,1.000000,0.355775
val_cc,0.999911,1.000000,0.355981
val_cc,0.999911,1.000000,0.356187
val_cc,0.999911,1.000000,0.356393
val_cc,0.999911,1.000000,0.356599
val_cc,0.999911,1.000000,0.357216
val_cc,0.999910,1.000000,0.357422
val_cc,0.999910,1.000000,0.358246
val_cc,0.999910,1.000000,0.358863
val_cc,0.999910,1.000000,0.359069
val_cc,0.999910,1.000000,0.359481
val_cc,0.999909,1.000000,0.359687
val_cc,0.999909,1.000000,0.360511
val_cc,0.999909,1.000000,0.360716
val_cc,0.999909,1.000000,0.360922
val_cc,0.999908,1.000000,0.361128
val_cc,0.999908,1.000000,0.361540
val_cc,0.999908,1.000000,0.361746
val_cc,0.999908,1.000000,0.361952
val_cc,0.999908,1.000000,0.362158
val_cc,0.999908,1.000000,0.362364
val_cc,0.999907,1.000000,0.362775
val_cc,0.999907,1.000000,0.362981
val_cc,0.999907,1.000000,0.363393
val_cc,0.999906,1.000000,0.364011
val_cc,0.999906,1.000000,0.364217
val_cc,0.999905,1.000000,0.364834
val_cc,0.999905,1.000000,0.365040
val_cc,0.999905,1.000000,0.365246
val_cc,0.999905,1.000000,0.365452
val_cc,0.999904,1.000000,0.365658
val_cc,0.999904,1.000000,0.366070
val_cc,0.999904,1.000000,0.366275
val_cc,0.999904,1.000000,0.366687
val_cc,0.999904,1.000000,0.367099
val_cc,0.999903,1.000000,0.367511
val_cc,0.999903,1.000000,0.368128
val_cc,0.999903,1.000000,0.368540
val_cc,0.999903,1.000000,0.368746
val_cc,0.999903,1.000000,0.369158
val_cc,0.999903,1.000000,0.369364
val_cc,0.999903,1.000000,0.369776
val_cc,0.999902,1.000000,0.369981
val_cc,0.999902,1.000000,0.370187
val_cc,0.999902,1.000000,0.370393
val_cc,0.999901,1.000000,0.370599
val_cc,0.999901,1.000000,0.371423
val_cc,0.999901,1.000000,0.371629
val_cc,0.999900,1.000000,0.371834
val_cc,0.999900,1.000000,0.372040
val_cc,0.999900,1.000000,0.372246
val_cc,0.999900,1.000000,0.372452
val_cc,0.999899,1.000000,0.372864
val_cc,0.999899,1.000000,0.373070
